sep=,
DeviceTag:,Xsens DOT0
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-03-18_09:53:37_796 CET
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,1941175345,0.083884,-0.065768,0.313650,0.217962,-1.323121,0.286722,0.429123,-0.062371,0.320338,-0.842228,
2,1941192012,-2.124985,-6.004564,9.044078,19.554020,22.382217,-49.118362,0.423159,-0.061072,0.315117,-0.847295,
3,1941208679,-2.520945,-5.782161,9.541245,9.110456,26.898764,-56.197277,0.417136,-0.056637,0.311012,-0.852093,
4,1941225346,-2.270871,-6.199329,9.747233,-0.339797,31.653904,-63.635529,0.410088,-0.049640,0.308109,-0.856990,
5,1941242013,-2.454864,-6.573557,9.375569,-8.698568,37.875614,-71.398308,0.401116,-0.044171,0.307624,-0.861698,
6,1941258680,-2.940957,-6.719844,8.639982,-12.594110,45.019722,-76.901283,0.390507,-0.039396,0.310106,-0.865902,
7,1941275347,-2.838735,-6.911439,7.979261,-9.030549,52.151253,-80.025101,0.378888,-0.033838,0.314624,-0.869661,
8,1941292014,-2.469227,-6.925810,7.091886,2.262750,58.783943,-80.825256,0.366515,-0.027475,0.319446,-0.873422,
9,1941308681,-2.032686,-6.906473,6.893010,17.079243,66.074013,-81.133789,0.353352,-0.020315,0.323602,-0.877503,
10,1941325348,-2.211154,-6.722487,7.396358,30.908617,70.738037,-81.982437,0.339472,-0.012821,0.326369,-0.882087,
11,1941342015,-2.538691,-6.486348,7.640112,41.081657,71.873108,-82.073265,0.325340,-0.005083,0.327483,-0.887064,
12,1941358682,-2.340593,-6.503118,7.741875,47.604958,71.414635,-81.084015,0.311286,0.002905,0.327222,-0.892199,
13,1941375349,-2.669396,-6.818010,7.895216,50.379665,71.407471,-78.716080,0.297424,0.010965,0.326135,-0.897248,
14,1941392016,-2.828447,-6.710226,7.918242,51.003300,71.039978,-74.751038,0.284005,0.019138,0.324674,-0.901976,
15,1941408683,-3.246525,-6.769311,7.661885,54.514927,69.629227,-70.092606,0.271185,0.027489,0.322431,-0.906500,
16,1941425350,-3.380653,-6.769403,7.166344,64.958282,66.644089,-65.377693,0.259032,0.036168,0.318558,-0.911107,
