sep=,
DeviceTag:,Xsens DOT0
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-03-18_10:17:28_499 CET
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,260586056,4.724299,-8.715915,2.922243,-2.908283,-8.816176,6.900389,0.481283,0.698718,-0.364604,0.383697,
2,260602723,24.378418,16.267090,-3.928927,-96.448891,-380.520966,409.944550,0.472947,0.682586,-0.420244,0.365777,
3,260619390,23.377602,17.800577,-3.740456,-98.494278,-405.103577,374.742401,0.482265,0.666868,-0.459826,0.333568,
4,260636057,21.070467,19.092751,-3.370979,-123.911835,-423.257874,345.571503,0.498461,0.651369,-0.491629,0.292499,
5,260652724,19.586033,19.925014,-3.347639,-165.003235,-440.003662,313.521179,0.517349,0.632233,-0.523300,0.242464,
6,260669391,18.391924,20.019600,-2.752579,-224.328506,-459.013580,269.582397,0.536613,0.607082,-0.556567,0.183663,
7,260686058,17.334225,19.679796,-1.707463,-275.987213,-484.714325,209.823959,0.553697,0.575945,-0.589942,0.116940,
8,260702725,16.217445,19.483088,-3.333816,-301.926575,-503.593903,138.593353,0.566058,0.540890,-0.620483,0.044903,
9,260719392,14.879029,19.031305,-5.386188,-313.471069,-500.279785,64.707542,0.571312,0.505018,-0.646241,-0.030526,
10,260736059,13.816997,17.759584,-5.435401,-305.933380,-481.254974,-3.857045,0.567942,0.471304,-0.666352,-0.106249,
11,260752726,13.342167,16.529747,-4.491121,-279.384460,-460.733032,-64.073418,0.555795,0.441377,-0.681316,-0.179126,
12,260769393,12.090005,15.792603,-4.144719,-248.281693,-440.271210,-116.270432,0.536232,0.415426,-0.691745,-0.247721,
13,260786060,10.190954,15.405940,-4.150227,-225.174026,-416.740082,-160.424347,0.510984,0.393124,-0.697738,-0.312268,
14,260802727,6.958021,14.615626,-4.842287,-214.952484,-384.851562,-197.776428,0.482208,0.374197,-0.698554,-0.373463,
15,260819394,4.084241,13.079102,-5.190499,-191.716064,-347.225800,-228.252914,0.450033,0.360395,-0.695026,-0.429565,
16,260836061,1.985059,11.992340,-4.888537,-140.502686,-311.086029,-250.663223,0.413678,0.353490,-0.689857,-0.477507,
17,260852728,-0.148622,11.837529,-3.396358,-70.765648,-283.821899,-263.183899,0.372649,0.353312,-0.685917,-0.515579,
18,260869395,-2.676985,12.290173,-2.418950,-22.250847,-264.016663,-266.405975,0.328623,0.357054,-0.682731,-0.546258,
19,260886062,-4.898323,12.536791,-2.449737,-33.758884,-243.059418,-265.606567,0.285457,0.361370,-0.675772,-0.575551,
20,260902729,-5.931755,12.100535,-2.778220,-81.669434,-220.052612,-266.155151,0.245361,0.365215,-0.661868,-0.606916,
21,260919396,-5.814925,10.863811,-2.777127,-105.054840,-202.503616,-267.782806,0.206701,0.369364,-0.643331,-0.637942,
22,260936063,-5.386336,9.538427,-2.677399,-92.983940,-193.367966,-271.716095,0.166941,0.374378,-0.623734,-0.665528,
23,260952730,-5.287636,8.574687,-2.663908,-80.653152,-185.898361,-275.647736,0.126217,0.379948,-0.603412,-0.689640,
24,260969397,-4.730735,7.821277,-2.310962,-88.684868,-177.131561,-277.484680,0.086178,0.385543,-0.580613,-0.711912,
25,260986064,-3.912678,7.033332,-2.107215,-110.392960,-166.128326,-274.992920,0.048449,0.390855,-0.554253,-0.733272,
26,261002731,-2.691665,6.051813,-2.174762,-127.244705,-155.103455,-270.114838,0.013195,0.395848,-0.525109,-0.753253,
27,261019398,-1.637559,4.217083,-1.793156,-124.745293,-146.547684,-266.457001,-0.020888,0.400516,-0.495417,-0.770527,
28,261036065,-1.075127,3.061881,-1.421298,-109.370697,-140.416977,-265.331696,-0.054982,0.404792,-0.466599,-0.784478,
29,261052732,-0.628090,2.099144,-0.998609,-97.937843,-133.189514,-264.029968,-0.088770,0.408806,-0.438355,-0.795514,
30,261069399,-0.340170,2.043780,-0.783061,-93.968170,-124.044380,-260.129547,-0.121288,0.412384,-0.410061,-0.804412,
31,261086066,-0.370738,1.804185,-0.552380,-93.126862,-112.688263,-251.932434,-0.151819,0.415663,-0.381756,-0.811442,
32,261102733,-0.240633,0.576127,-0.075651,-81.476578,-102.302338,-242.325272,-0.181049,0.418558,-0.354955,-0.816111,
33,261119400,0.311203,-0.609014,0.436029,-61.192463,-95.118484,-235.692047,-0.210082,0.420763,-0.330589,-0.818251,
34,261136067,0.615635,-1.191096,0.716702,-47.862144,-89.975517,-229.392700,-0.238647,0.422276,-0.307879,-0.818500,
35,261152734,0.879892,-1.690469,0.615717,-45.116978,-86.997520,-223.230133,-0.266207,0.423222,-0.285572,-0.817598,
36,261169401,1.157352,-2.285325,0.499000,-44.079624,-88.015045,-217.776855,-0.292898,0.423257,-0.263328,-0.815919,
37,261186068,0.710823,-2.999506,0.203545,-40.074211,-94.719818,-211.168457,-0.318962,0.421569,-0.241364,-0.813810,
38,261202735,0.271935,-4.059883,-0.038321,-28.019382,-109.775665,-204.271652,-0.345108,0.416810,-0.220268,-0.811574,
39,261219402,0.273348,-5.783373,-0.518655,-13.488873,-133.088989,-199.239960,-0.371880,0.407918,-0.199755,-0.809571,
40,261236069,0.909434,-7.026463,-1.668532,6.233609,-164.961746,-197.658493,-0.400075,0.393631,-0.179665,-0.807908,
41,261252736,1.813951,-7.121098,-2.335938,46.563080,-208.290283,-196.507172,-0.430938,0.371257,-0.161564,-0.806447,
42,261269403,3.633785,-5.996850,-3.290573,87.614670,-261.368652,-193.973083,-0.464061,0.339256,-0.144744,-0.805358,
43,261286070,6.059305,-4.869295,-4.072452,111.138008,-319.359039,-191.417221,-0.497959,0.297879,-0.126485,-0.804554,
44,261302737,10.231708,-2.855992,-4.813737,130.134384,-379.970856,-190.425171,-0.531832,0.246922,-0.105635,-0.803135,
45,261319404,16.769964,-0.785734,-6.263866,129.334976,-439.290161,-191.571014,-0.564216,0.187952,-0.079570,-0.800001,
46,261336071,23.741007,0.009773,-8.481016,114.847626,-489.559937,-197.682251,-0.594274,0.123303,-0.047072,-0.793359,
47,261352738,31.501648,0.062879,-11.104111,135.453583,-532.722717,-206.278214,-0.621973,0.051094,-0.012737,-0.781266,
48,261369405,36.138348,0.684896,-12.954861,165.430649,-567.282837,-213.934189,-0.645946,-0.028179,0.021502,-0.762560,
49,261386072,45.144234,2.394799,-16.015888,219.924164,-595.038513,-211.573151,-0.663555,-0.115427,0.052157,-0.737327,
