sep=,
DeviceTag:,Xsens DOT0
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-03-18_09:36:34_361 CET
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,917745942,0.147332,-0.957895,0.020423,-1.620467,-4.197566,-3.065614,0.555241,0.784078,-0.276650,0.019841,
2,917762609,2.827045,8.752734,-5.671547,6.083052,9.399937,-6.014442,0.543355,0.793288,-0.274407,0.012673,
3,917779276,2.398969,8.637506,-5.385331,12.570180,-9.510427,-7.376425,0.528204,0.803399,-0.274818,0.005127,
4,917795943,1.746039,9.020224,-5.183867,1.799163,-26.974655,-6.775910,0.517210,0.810464,-0.275007,-0.003638,
5,917812610,1.631435,8.698176,-4.884320,-16.850737,-43.141857,-5.746394,0.511655,0.813794,-0.275130,-0.015880,
6,917829277,1.907906,8.335093,-4.711925,-35.420250,-56.853592,-6.377946,0.510208,0.814021,-0.275985,-0.029837,
7,917845944,2.088643,8.008413,-4.430642,-53.931374,-67.630646,-9.485621,0.511831,0.811730,-0.277759,-0.044416,
8,917862611,2.379267,7.661301,-4.145678,-72.376411,-75.731163,-15.108145,0.516042,0.807326,-0.279952,-0.059603,
9,917879278,2.530822,7.678165,-3.796599,-92.899300,-81.734985,-22.523012,0.522758,0.800886,-0.282140,-0.075517,
10,917895945,2.265811,7.745672,-3.478795,-117.555634,-86.525703,-30.645590,0.532324,0.792132,-0.283863,-0.092633,
11,917912612,1.535482,7.601112,-3.240589,-137.220932,-91.452759,-39.203518,0.543847,0.781483,-0.284827,-0.111306,
12,917929279,0.772736,7.537985,-2.900705,-147.089035,-97.205009,-47.615143,0.555792,0.769779,-0.284962,-0.131653,
13,917945946,0.394165,7.559185,-2.357395,-146.741714,-104.068115,-54.715637,0.566815,0.757770,-0.284513,-0.153487,
14,917962613,0.236748,7.858588,-1.436722,-138.903290,-112.541183,-58.991661,0.576111,0.745833,-0.284096,-0.176409,
15,917979280,-0.474396,8.190555,-0.623038,-130.660599,-122.502037,-60.920151,0.583808,0.733695,-0.284151,-0.200296,
16,917995947,-1.636800,8.344631,0.008482,-128.779419,-132.869400,-62.017525,0.590596,0.720691,-0.284565,-0.225441,
17,918012614,-2.535774,7.961703,0.509437,-133.700439,-142.391098,-64.523743,0.597040,0.706277,-0.284783,-0.252220,
18,918029281,-3.484995,7.584060,0.943946,-142.963287,-150.116882,-69.783852,0.603379,0.690188,-0.284153,-0.280770,
19,918045948,-3.409360,7.496569,1.607154,-155.674438,-155.151230,-76.463982,0.609808,0.672206,-0.282080,-0.310972,
20,918062615,-3.315841,7.482656,2.337011,-169.507248,-158.182190,-83.114677,0.616413,0.652150,-0.278373,-0.342409,
21,918079282,-3.917802,7.298931,2.827554,-179.935684,-159.479858,-89.554276,0.622824,0.630261,-0.273082,-0.374551,
22,918095949,-4.864130,6.868024,3.147457,-183.892166,-158.646698,-96.851959,0.628307,0.607265,-0.266238,-0.406911,
23,918112616,-14.077825,17.064194,10.388988,-175.934235,-158.489288,-104.620651,0.631624,0.584310,-0.258543,-0.439078,
24,918129283,-5.187664,13.009592,11.447546,-133.087570,-146.031113,-123.707993,0.629639,0.565705,-0.249403,-0.470459,
25,918145950,-4.577774,4.939476,3.773261,-92.911827,-136.385895,-141.402557,0.623127,0.550707,-0.240325,-0.500678,
26,918162617,-3.158534,4.124525,3.754103,-77.700104,-124.968040,-147.849487,0.614549,0.537533,-0.230704,-0.529305,
27,918179284,-2.583074,4.322150,4.431424,-75.128647,-113.825890,-152.599396,0.605113,0.524999,-0.219947,-0.556631,
28,918195951,-4.877443,7.014656,8.740877,-89.608788,-100.445297,-156.841537,0.596252,0.511785,-0.206582,-0.582995,
29,918212618,-5.399055,8.141525,9.825965,-117.639366,-81.255486,-161.881638,0.589019,0.497148,-0.188691,-0.608520,
30,918229285,-4.900036,6.553597,8.984056,-132.716049,-64.487488,-164.060104,0.582461,0.482007,-0.167791,-0.632657,
31,918245952,-4.493804,5.233444,8.319463,-128.124359,-55.282768,-162.722610,0.575222,0.467403,-0.146602,-0.655105,
32,918262619,-4.284303,4.838261,7.034460,-118.378883,-49.350304,-158.145340,0.567216,0.453521,-0.126180,-0.675769,
33,918279286,-4.401843,4.326603,5.828908,-104.472435,-44.883167,-151.316986,0.558441,0.440696,-0.107303,-0.694562,
34,918295953,-4.498981,3.552335,5.519489,-82.625961,-42.296391,-144.702866,0.548447,0.429548,-0.090973,-0.711631,
35,918312620,-5.918037,3.406080,6.046305,-58.329529,-42.751720,-138.875198,0.537102,0.420031,-0.077684,-0.727366,
36,918329287,-7.010146,2.869330,6.773110,-32.005367,-45.920341,-133.556732,0.524308,0.412059,-0.067838,-0.742096,
37,918345954,-6.951612,1.878604,7.244878,-2.285283,-51.687584,-129.248108,0.509828,0.405589,-0.061943,-0.756132,
38,918362621,-6.466717,1.284360,6.753774,20.797215,-58.079121,-125.283195,0.494094,0.399961,-0.059321,-0.769665,
39,918379288,-6.239538,1.339833,6.617392,30.815519,-63.670647,-119.906227,0.478087,0.394246,-0.058568,-0.782670,
40,918395955,-6.665022,1.781223,7.280280,31.060976,-68.920616,-113.353989,0.462552,0.387766,-0.058629,-0.795139,
41,918412622,-6.837264,2.224765,8.305801,28.326525,-73.950172,-106.929184,0.447680,0.380343,-0.059120,-0.807110,
42,918429289,-6.507918,2.351487,8.992256,24.340879,-78.251503,-100.651093,0.433565,0.371976,-0.059822,-0.818582,
43,918445956,-6.348578,2.042734,9.041029,17.458281,-81.623100,-94.391922,0.420397,0.362584,-0.060311,-0.829555,
44,918462623,-6.609614,1.822917,9.111532,9.907535,-84.390297,-88.108742,0.408233,0.352218,-0.060434,-0.840022,
45,918479290,-6.485324,2.074394,9.391222,3.814695,-85.996841,-81.808548,0.397014,0.341138,-0.060260,-0.849925,
46,918495957,-6.106184,1.986916,10.020002,-2.825531,-85.329430,-75.957230,0.386749,0.329620,-0.059553,-0.859203,
47,918512624,-5.451909,2.126883,10.510398,-13.798685,-80.928329,-70.743164,0.377606,0.317902,-0.057510,-0.867781,
48,918529291,-5.002465,2.290405,10.523655,-28.671959,-73.400902,-64.890388,0.369872,0.306183,-0.053492,-0.875549,
49,918545958,-5.043156,1.907137,10.187495,-40.085518,-65.133804,-58.488461,0.363455,0.294782,-0.047913,-0.882445,
50,918562625,-5.033298,1.535357,9.894992,-40.810249,-58.468105,-52.568047,0.357804,0.284113,-0.042185,-0.888525,
51,918579292,-5.151206,1.538140,9.476799,-30.151880,-53.821045,-46.642422,0.352450,0.274542,-0.037874,-0.893852,
52,918595959,-4.707869,1.617424,9.273005,-11.609161,-50.522614,-40.983990,0.347068,0.266326,-0.036069,-0.898506,
53,918612626,-4.666524,1.684974,9.270452,4.651290,-47.555882,-34.060646,0.341958,0.259293,-0.036555,-0.902494,
54,918629293,-4.767515,1.733051,10.204937,9.120664,-44.891899,-26.696995,0.337647,0.252814,-0.037820,-0.905897,
