sep=,
DeviceTag:,Xsens DOT0
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-03-18_09:35:12_130 CET
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,835515868,0.889116,-0.119010,1.475426,-2.038274,2.909446,5.241892,0.501699,0.401648,-0.732754,-0.223713,
2,835532535,5.320065,8.594314,-4.752493,-124.748650,-110.622742,52.609383,0.494159,0.388560,-0.740626,-0.237278,
3,835549202,4.309717,9.472245,-4.280727,-140.038330,-110.095337,49.261974,0.485854,0.373963,-0.746349,-0.258962,
4,835565869,3.671832,10.297231,-3.711749,-161.597855,-108.072296,45.552242,0.479011,0.359943,-0.746850,-0.288452,
5,835582536,3.933586,11.285250,-3.069268,-185.081055,-104.425186,41.279003,0.474490,0.344957,-0.742713,-0.322865,
6,835599203,4.230949,12.159231,-2.042756,-206.328186,-100.403496,37.170441,0.472946,0.327644,-0.734830,-0.359160,
7,835615870,4.265011,12.704917,-0.639132,-221.603653,-98.406792,33.226860,0.473787,0.307881,-0.723888,-0.395881,
8,835632537,3.367221,12.711579,0.735500,-229.378296,-99.537590,29.164700,0.475829,0.286119,-0.710540,-0.432267,
9,835649204,2.333115,12.068780,1.924995,-229.712158,-104.016113,23.284679,0.477245,0.263556,-0.695489,-0.468049,
10,835665871,1.052624,11.391624,2.914582,-227.857834,-111.060356,14.241343,0.476904,0.240858,-0.679206,-0.503219,
11,835682538,1.310482,13.335607,0.437063,-219.276352,-118.983864,3.264754,0.473955,0.218925,-0.662373,-0.537309,
12,835699205,5.836130,14.094335,-8.974063,-129.576584,-127.653091,-5.595094,0.465017,0.203698,-0.653391,-0.561557,
13,835715872,1.206167,7.326088,0.976573,18.665979,-151.903442,-18.987953,0.445964,0.197771,-0.662540,-0.568369,
14,835732539,1.259668,8.544331,5.193634,10.059043,-170.851944,-29.554754,0.424570,0.190044,-0.671532,-0.576773,
15,835749206,1.117709,7.307702,5.993577,-67.526703,-183.714722,-40.739906,0.403791,0.176633,-0.672844,-0.594167,
16,835765873,1.320098,8.862684,3.496636,-142.958023,-193.236176,-54.594036,0.383324,0.158352,-0.666142,-0.619872,
17,835782540,0.907518,8.006378,3.846041,-206.867981,-198.100479,-71.575722,0.362059,0.137016,-0.652337,-0.651610,
18,835799207,0.470442,7.297182,3.122408,-269.272980,-195.589401,-92.963074,0.339726,0.113966,-0.630442,-0.688579,
19,835815874,0.595336,6.313184,1.850134,-319.182892,-185.170563,-117.653175,0.315835,0.091142,-0.600827,-0.728662,
20,835832541,0.699538,5.591524,1.150508,-339.292786,-170.142166,-143.347641,0.289792,0.070657,-0.566309,-0.768324,
21,835849208,0.669289,5.268117,1.116777,-331.936584,-152.527267,-167.194260,0.261470,0.053914,-0.530058,-0.804839,
22,835865875,0.513715,5.710497,1.650969,-310.272522,-133.583008,-185.480652,0.231443,0.041235,-0.494134,-0.836998,
23,835882542,0.062247,6.201434,2.689974,-282.589172,-115.336395,-197.930893,0.200344,0.032340,-0.459787,-0.864530,
24,835899209,-0.349912,6.350697,4.382418,-257.863861,-99.853859,-205.269958,0.168680,0.026459,-0.427129,-0.887923,
25,835915876,-0.987919,6.071377,5.944379,-245.118774,-87.870186,-208.579987,0.136857,0.022559,-0.394920,-0.908185,
