sep=,
DeviceTag:,Xsens DOT0
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-03-18_09:21:40_789 CET
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,24219553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.849565,0.346131,0.179868,-0.355078,
2,24236220,-11.922113,1.802111,20.165670,-97.852730,65.135887,-32.042465,0.861884,0.261696,0.209320,-0.380599,
3,24252887,-7.979240,3.239213,19.139137,-39.209999,65.970764,-16.446016,0.864913,0.189938,0.232178,-0.402420,
4,24269554,-5.522873,5.338064,18.090269,-2.146053,74.534325,-4.112533,0.868221,0.154785,0.229482,-0.411791,
5,24286221,-3.011399,6.711044,16.355520,6.527833,79.658554,6.010291,0.873617,0.145995,0.213068,-0.412409,
6,24302888,-1.324156,7.094542,13.330692,-8.147888,77.467316,14.923156,0.880410,0.148269,0.191819,-0.407554,
7,24319555,0.091422,6.863690,9.785830,-34.812836,71.043320,20.921072,0.887383,0.152724,0.172060,-0.399528,
8,24336222,1.903860,5.628887,7.030558,-52.957142,63.659466,19.543325,0.893607,0.156717,0.155533,-0.390788,
9,24352889,2.790948,5.276707,4.453711,-59.572678,54.978554,9.633182,0.898694,0.158774,0.141458,-0.383576,
10,24369556,3.639513,5.855999,2.569838,-67.677696,46.662453,-5.501996,0.902523,0.158715,0.129862,-0.378678,
11,24386223,4.078629,7.194429,1.396492,-84.250076,39.520874,-21.419409,0.905400,0.156078,0.120546,-0.375977,
12,24402890,5.450193,7.191721,0.388142,-98.653717,35.175381,-34.863861,0.907440,0.151973,0.113049,-0.375070,
13,24419557,5.891886,6.338774,-0.579201,-89.569290,32.863087,-45.783257,0.908401,0.149117,0.105728,-0.376024,
14,24436224,5.916846,5.754242,-1.056976,-58.219196,31.810705,-55.357929,0.907911,0.150067,0.097695,-0.378990,
16,24469558,4.294660,6.397377,2.142709,57.211460,25.684179,-80.197571,0.900485,0.172048,0.075516,-0.392203,
17,24486225,3.225715,7.791125,5.288897,109.453583,21.202387,-96.090134,0.892713,0.193136,0.061149,-0.402521,
18,24502892,0.800016,7.291892,9.614023,149.045898,13.605052,-110.707108,0.882164,0.218698,0.044971,-0.414650,
19,24519559,-2.704222,5.619678,13.313831,179.270828,0.266807,-121.442978,0.868982,0.246702,0.027072,-0.428108,
20,24536226,-10.636382,5.167740,18.290255,207.338165,-24.050205,-129.628540,0.853056,0.275654,0.006687,-0.443019,
25,24619561,-8.517806,2.300158,10.911499,-5.042639,-110.484093,-88.579880,0.788384,0.307917,-0.064362,-0.528674,
26,24636228,-6.489505,0.566050,6.638605,8.947933,-99.282036,-79.832199,0.780322,0.302468,-0.070144,-0.542854,
27,24652895,-5.994062,-1.016551,3.468227,9.321014,-85.899979,-70.184578,0.772952,0.297750,-0.074549,-0.555277,
28,24669562,-5.964674,-1.790543,1.913904,-13.874617,-72.207863,-59.161118,0.767475,0.291263,-0.075776,-0.566044,
41,24886233,-14.168465,-4.324200,14.036504,-115.111473,39.955757,79.329681,0.820233,0.173867,0.109324,-0.533889,
43,24919567,-9.813197,-3.609157,12.520176,-30.243795,-9.488625,63.880779,0.831347,0.165823,0.120918,-0.516473,
44,24936234,-6.985415,-0.924882,10.055413,-14.494170,-19.934542,59.500427,0.835740,0.163792,0.121989,-0.509735,
45,24952901,-5.078214,1.415844,8.433306,0.121899,-23.525520,57.059456,0.839641,0.163237,0.121457,-0.503592,
46,24969568,-3.421101,3.271285,7.552633,14.790992,-22.667044,54.197880,0.842955,0.164542,0.119809,-0.497994,
47,24986235,-2.300537,4.889818,7.276774,26.149813,-18.919647,50.831383,0.845679,0.167534,0.117610,-0.492877,
50,25036236,-0.823986,5.220953,6.043943,-15.668832,2.378273,35.364376,0.853009,0.170492,0.120305,-0.478367,
52,25069570,-0.919641,5.397976,6.771774,4.202276,7.222159,19.755651,0.855335,0.172345,0.125524,-0.472169,
53,25086237,-1.301015,6.621799,7.381519,29.903999,7.456802,13.576392,0.854956,0.177497,0.125778,-0.470877,
54,25102904,-2.342502,6.679002,9.605992,58.985794,4.354180,5.728613,0.853323,0.185957,0.123650,-0.471138,
55,25119571,-5.989109,3.176280,16.326071,74.426559,-9.664276,-9.905566,0.850383,0.195107,0.118963,-0.473952,
56,25136238,-9.177998,0.289701,21.866447,29.098881,-36.287693,-37.295322,0.847238,0.196245,0.114802,-0.480101,
57,25152905,-10.046688,-3.227144,21.926729,-64.109619,-63.926712,-65.072098,0.845166,0.183319,0.114527,-0.488847,
58,25169572,-9.238731,-1.878396,17.476564,-137.481125,-80.263901,-93.291260,0.842946,0.159455,0.118230,-0.500038,
59,25186239,-7.908465,-2.217229,13.481052,-163.091949,-87.186920,-115.257286,0.839153,0.131315,0.123412,-0.513174,
60,25202906,-6.566871,-3.044950,10.495946,-155.974609,-87.894196,-132.188950,0.833150,0.103459,0.128222,-0.527937,
61,25219573,-4.067571,-3.453138,8.284215,-128.599747,-85.144669,-144.891312,0.824908,0.078701,0.131368,-0.544128,
62,25236240,-1.199383,-3.886523,6.891422,-82.828705,-83.359512,-153.714722,0.814726,0.059234,0.131100,-0.561717,
63,25252907,-1.379522,-1.814083,5.987835,-42.693981,-82.523262,-157.233200,0.803317,0.044353,0.127553,-0.580038,
64,25269574,-1.148893,-0.818842,4.911212,-38.598248,-77.614868,-151.613647,0.791755,0.030362,0.124064,-0.597335,
65,25286241,-0.769394,-0.340807,3.956428,-77.119453,-62.222218,-136.755600,0.780909,0.013474,0.125497,-0.611759,
66,25302908,-3.924901,-0.623952,3.585086,-143.195282,-45.521351,-109.892616,0.771774,-0.008978,0.134509,-0.621444,
67,25319575,-4.527468,-2.877341,3.757756,-207.911758,-42.275471,-74.156761,0.765033,-0.037671,0.149651,-0.625229,
68,25336242,-3.437177,-4.429476,2.257936,-259.186249,-42.333900,-34.992367,0.760598,-0.071155,0.169488,-0.622657,
69,25352909,-4.700497,-6.945275,1.169517,-275.812653,-32.230896,0.792871,0.757791,-0.104574,0.192074,-0.614756,
70,25369576,-6.881937,-9.879438,0.426899,-216.020798,-11.834970,30.407640,0.756949,-0.128626,0.211822,-0.604661,
71,25386243,-9.073853,-12.125850,0.964275,-92.379829,10.220332,59.243107,0.759759,-0.136173,0.223646,-0.595151,
72,25402910,-9.624436,-11.042436,1.987785,18.131472,26.529266,90.804199,0.766740,-0.129040,0.228437,-0.585897,
73,25419577,-9.135253,-8.516151,3.864602,36.792843,36.322075,127.398094,0.776585,-0.117706,0.233489,-0.573187,
74,25436244,-6.062163,-9.686006,0.191861,-31.424017,42.226116,163.859192,0.787653,-0.112206,0.245491,-0.553847,
75,25452911,-7.015953,-14.348414,-1.038309,-119.879738,40.545193,191.577759,0.798808,-0.115843,0.264739,-0.527637,
76,25469578,-14.500629,-13.560626,4.297528,-154.527725,18.995909,206.843246,0.810268,-0.124407,0.284176,-0.497225,
77,25486245,-12.114131,-14.093009,4.761968,-172.802414,-6.100493,200.585632,0.820730,-0.136895,0.301582,-0.465522,
78,25502912,-11.301289,-14.434124,1.248982,-229.090500,-19.148476,180.749252,0.827880,-0.157528,0.320424,-0.432584,
79,25519579,-13.301498,-14.495234,2.139381,-303.824188,-29.123096,152.746887,0.830175,-0.188673,0.341502,-0.398233,
80,25536246,-12.879244,-10.080058,-0.753066,-416.050262,-32.032291,125.106857,0.825175,-0.234179,0.366885,-0.360057,
81,25552913,-13.409174,-15.728333,1.456000,-479.799530,-45.543884,101.519150,0.813666,-0.288074,0.391477,-0.318914,
82,25569580,-12.641683,-15.433319,-0.141068,-468.503448,-67.524231,66.405441,0.798153,-0.342110,0.409453,-0.279750,
83,25586247,-10.829237,-15.459851,0.953182,-442.157532,-84.168709,32.278564,0.779882,-0.394146,0.420758,-0.243715,
84,25602914,-7.347996,-20.469074,2.070288,-405.031219,-104.602997,-10.957627,0.760346,-0.443683,0.424125,-0.212455,
85,25619581,-2.894369,-11.743500,-4.822848,-300.137146,-100.117744,-44.628365,0.744061,-0.482251,0.421151,-0.190890,
86,25636248,-8.936267,-15.120927,3.174288,-98.841003,-85.147667,-32.590870,0.740367,-0.497314,0.414420,-0.181083,
87,25652915,-7.998286,-17.289726,2.477516,84.315697,-86.368469,-11.402007,0.750362,-0.491224,0.404089,-0.179913,
88,25669582,-7.082779,-15.267544,5.969380,151.470139,-97.181808,15.825057,0.766177,-0.476261,0.392579,-0.178971,
89,25686249,-3.862968,-12.492927,6.790387,92.125168,-119.794754,45.969822,0.779566,-0.466462,0.381945,-0.169731,
90,25702916,4.510230,-11.425233,3.768219,-14.613924,-147.318054,85.464287,0.787891,-0.466926,0.373116,-0.148298,
91,25719583,1.114490,-11.908944,-1.845495,-150.543976,-172.639847,121.555099,0.788477,-0.481051,0.365999,-0.113750,
92,25736250,-0.853498,-11.711204,-4.105625,-259.446716,-203.829651,140.084229,0.781895,-0.506180,0.357281,-0.069087,
93,25752917,0.536351,-11.142253,-4.961557,-278.319427,-244.051071,144.325958,0.773786,-0.532094,0.343123,-0.019957,
94,25769584,2.574867,-10.584278,-5.277322,-209.759171,-284.373077,145.588287,0.770592,-0.548639,0.323024,0.028950,
95,25786251,1.839039,-10.129971,-5.671747,-69.200684,-316.663666,153.999573,0.777926,-0.547325,0.299502,0.074591,
96,25802918,0.728014,-9.448593,-5.442772,92.919121,-335.443298,172.486023,0.796545,-0.525072,0.276136,0.116465,
97,25819585,0.170588,-7.980356,-5.257007,182.443909,-338.278809,193.561050,0.818989,-0.489722,0.254556,0.156946,
98,25836252,-0.372394,-6.006369,-4.379134,143.161407,-329.673157,207.838867,0.834959,-0.456885,0.233144,0.199357,
99,25852919,-0.300649,-5.052637,-3.970973,18.608339,-319.277100,209.230652,0.839506,-0.437896,0.208684,0.244802,
100,25869586,-0.577075,-5.067329,-3.450476,-100.041412,-314.028839,196.227066,0.834243,-0.432619,0.179166,0.291168,
101,25886253,-0.576003,-3.456132,-0.334112,-155.850128,-311.535950,173.528305,0.823764,-0.433450,0.145592,0.335168,
102,25902920,-0.582573,-3.969961,1.405789,-139.579254,-308.746918,148.825958,0.812973,-0.431672,0.111144,0.374675,
103,25919587,-1.205770,-4.836357,1.492924,-84.142761,-303.776459,123.901039,0.804802,-0.422873,0.078437,0.409047,
104,25936254,-0.839738,-5.408329,1.830588,-28.671314,-292.155090,99.175705,0.799614,-0.407621,0.048690,0.438282,
105,25952921,0.657081,-3.900507,4.315630,-1.868445,-278.548889,76.607689,0.795866,-0.389516,0.020801,0.463078,
106,25969588,2.132197,-1.527621,5.871093,-35.913338,-260.927368,55.658955,0.790260,-0.375964,-0.008567,0.483804,
107,25986255,1.921264,-1.206642,7.172962,-110.804070,-239.019272,31.548412,0.781108,-0.371962,-0.041994,0.499750,
108,26002922,1.244988,-2.397922,8.100358,-173.807571,-215.693207,2.253957,0.769619,-0.376054,-0.078870,0.509952,
109,26019589,1.402591,-3.983894,8.498872,-177.029083,-191.988358,-25.244558,0.759086,-0.381369,-0.114717,0.514962,
110,26036256,2.199433,-4.918401,10.220575,-112.303757,-168.345612,-41.161278,0.752841,-0.380594,-0.143859,0.517381,
111,26052923,2.770982,-5.208823,12.032966,-29.332790,-147.131516,-45.694344,0.751446,-0.371966,-0.164588,0.519501,
112,26069590,3.699767,-4.935339,13.975743,21.543892,-127.883095,-42.996761,0.752725,-0.359126,-0.179150,0.521861,
113,26086257,4.996850,-5.107871,15.024727,23.432766,-107.458618,-38.823990,0.754072,-0.347615,-0.191054,0.523486,
114,26102924,6.108991,-5.873330,15.563222,-15.390189,-85.477036,-35.891380,0.753672,-0.342031,-0.203313,0.523122,
115,26119591,6.644028,-7.164237,15.499427,-56.617294,-64.680481,-34.965363,0.751632,-0.342510,-0.216346,0.520511,
116,26136258,6.611959,-8.657265,14.903337,-73.784195,-47.024902,-35.672611,0.749208,-0.346113,-0.228744,0.516304,
117,26152925,7.244555,-9.738837,14.214817,-70.578888,-32.450523,-35.807587,0.747313,-0.350395,-0.239280,0.511363,
118,26169592,8.236210,-10.758906,13.296496,-48.451607,-19.070608,-34.396240,0.746817,-0.353272,-0.246618,0.506600,
119,26186259,9.293549,-11.303408,12.644642,-26.044912,-4.954411,-32.909687,0.747824,-0.354786,-0.250681,0.502042,
