sep=,
DeviceTag:,Xsens DOT0
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-03-18_10:21:11_815 CET
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,483878110,0.071110,-0.359050,-0.282773,0.797587,-0.029238,1.438209,0.113058,0.193684,0.090891,-0.970280,
2,483894777,-4.715284,0.154035,11.508607,-88.486824,42.186886,67.472206,0.130428,0.187863,0.070293,-0.970956,
3,483911444,-7.125203,-1.312070,12.610093,-58.279957,27.557119,62.377625,0.144650,0.187448,0.056156,-0.969942,
4,483928111,-7.883058,-1.023037,12.456096,-15.776477,15.917778,54.533100,0.153892,0.196432,0.051840,-0.966977,
5,483944778,-8.438524,-2.163629,13.759619,22.002512,8.067367,46.600430,0.159907,0.209143,0.047576,-0.963548,
6,483961445,-8.398499,-2.589265,12.553774,41.713566,3.693144,38.305897,0.162972,0.220491,0.045371,-0.960607,
7,483978112,-7.651954,-1.415619,12.005159,42.443054,6.197981,30.356998,0.164107,0.230993,0.045894,-0.957917,
8,483994779,-7.182449,-0.699397,11.813663,32.085766,10.268132,21.559067,0.164427,0.239980,0.047214,-0.955586,
9,484011446,-6.363718,-0.682103,11.080104,18.179991,16.552223,13.506261,0.164380,0.247766,0.049257,-0.953501,
10,484028113,-5.893769,-0.930445,10.022093,10.593166,24.700357,7.567478,0.163943,0.254884,0.051652,-0.951572,
11,484044780,-5.515567,-1.170948,9.268764,10.392620,32.406189,3.697599,0.163015,0.261974,0.053846,-0.949682,
12,484061447,-4.960287,-1.030640,8.342190,12.216595,39.330837,2.458789,0.161819,0.269281,0.055714,-0.947733,
13,484078114,-4.891089,-1.352945,7.767800,11.892246,46.386036,4.339947,0.160876,0.276995,0.057396,-0.945568,
14,484094781,-4.998960,-1.521306,7.007195,9.502007,52.551586,8.700385,0.160557,0.285168,0.059256,-0.943075,
15,484111448,-4.592643,-1.545496,6.319121,17.026525,54.898037,14.850520,0.160705,0.293750,0.059844,-0.940374,
16,484128115,-5.523305,-1.773286,5.773443,40.120449,52.001751,21.181450,0.160716,0.302382,0.056874,-0.937817,
17,484144782,-6.295984,-2.184045,5.233854,67.746437,47.280621,24.720072,0.159953,0.311161,0.049909,-0.935470,
18,484161449,-6.166579,-1.217341,5.439443,81.530701,41.414577,27.870121,0.158904,0.319705,0.040938,-0.933200,
19,484178116,-6.855556,-0.439767,5.757559,72.735130,34.693584,30.930403,0.158673,0.327240,0.032746,-0.930949,
20,484194783,-6.670636,-0.192064,5.754713,53.117313,28.003279,34.245583,0.159860,0.333554,0.026675,-0.928695,
21,484211450,-6.729362,-0.611527,5.379410,51.763851,20.336885,36.642784,0.161482,0.338855,0.020278,-0.926655,
22,484228117,-7.155485,-1.584752,5.283226,60.092953,14.264687,37.822578,0.162846,0.343568,0.012466,-0.924818,
23,484244784,-7.252860,-1.585482,5.470156,66.214142,10.492999,36.259411,0.163609,0.347938,0.003899,-0.923123,
24,484261451,-7.432376,-1.475066,5.497664,60.729298,8.341088,32.151905,0.164018,0.351872,-0.003708,-0.921559,
25,484278118,-7.411493,-1.109114,5.260039,50.043602,7.151768,26.024481,0.164086,0.355381,-0.009550,-0.920157,
26,484294785,-7.236236,-0.648078,5.392134,33.413002,5.803900,18.444717,0.163962,0.358325,-0.012809,-0.918997,
27,484311452,-6.898218,-0.525904,5.424644,12.171290,4.698213,11.183818,0.163975,0.360610,-0.012930,-0.918099,
28,484328119,-6.660131,-0.667690,5.517432,-7.604400,4.282618,4.754391,0.164188,0.362334,-0.010149,-0.917417,
29,484344786,-6.425180,-1.041335,5.460853,-17.866211,3.600426,-0.986218,0.164200,0.363664,-0.005768,-0.916926,
30,484361453,-6.212366,-1.655838,5.231625,-10.337791,3.533460,-5.930739,0.163173,0.365089,-0.002159,-0.916559,
31,484378120,-6.153247,-2.084801,5.224453,5.259307,4.815849,-9.750440,0.160809,0.366975,-0.000386,-0.916226,
32,484394787,-6.205092,-1.780837,5.706395,2.357247,7.883294,-12.274306,0.158255,0.369116,0.002008,-0.915808,
33,484411454,-6.606804,-2.162162,6.251951,-23.431530,11.704700,-13.112487,0.156976,0.371078,0.007965,-0.915203,
34,484428121,-6.980784,-1.985874,6.348112,-49.635967,14.637666,-11.409070,0.157331,0.372734,0.017395,-0.914338,
35,484444788,-7.116775,-1.182025,5.902683,-66.387772,12.852874,-9.848987,0.158807,0.373686,0.028913,-0.913402,
36,484461455,-7.282413,-0.310976,5.941479,-67.591309,8.181211,-10.334949,0.160324,0.373927,0.040441,-0.912600,
37,484478122,-7.530261,0.495940,6.753473,-55.835445,2.956899,-14.870564,0.160670,0.373676,0.050418,-0.912145,
38,484494789,-7.322653,0.137736,7.073360,-45.123375,-0.216583,-21.473337,0.159643,0.373152,0.059109,-0.912019,
39,484511456,-6.743539,-0.244303,6.820460,-48.510231,-0.741534,-25.835588,0.158276,0.372370,0.068350,-0.911931,
40,484528123,-5.991094,0.039930,6.952003,-57.774345,1.022928,-28.268778,0.157113,0.371499,0.078886,-0.911636,
41,484544790,-5.852847,-0.168185,8.469469,-62.658607,6.221859,-29.330486,0.156054,0.371084,0.090123,-0.910945,
42,484561457,-5.916525,-0.966826,8.577082,-62.475353,15.894489,-26.577923,0.155257,0.371841,0.101283,-0.909600,
43,484578124,-6.418480,-1.154957,7.544761,-67.450974,22.337040,-23.677780,0.155031,0.373234,0.112998,-0.907686,
44,484594791,-7.104364,-0.733136,8.009419,-53.547379,21.496122,-24.767950,0.153928,0.374716,0.122838,-0.905983,
45,484611458,-7.269620,-0.884741,8.725933,-35.159714,15.975684,-19.461769,0.152643,0.375908,0.129752,-0.904742,
46,484628125,-7.179558,-1.263526,9.196244,-27.181570,10.823555,-25.300652,0.150274,0.376419,0.135737,-0.904047,
47,484644792,-6.762925,-1.374789,9.538566,-36.174328,6.937752,-24.223618,0.148634,0.376165,0.142686,-0.903354,
48,484661459,-6.122715,-1.896938,9.757558,-39.702686,4.936493,-21.895573,0.147551,0.375529,0.149856,-0.902635,
49,484678126,-5.266768,-2.018960,10.034882,-26.487885,4.468670,-15.348333,0.146625,0.375159,0.154864,-0.902094,
50,484694793,-4.767272,-1.661830,10.490022,-4.804778,5.875857,-7.852550,0.145477,0.375500,0.156595,-0.901839,
51,484711460,-4.385181,-1.610630,10.491080,13.285607,8.342250,1.100150,0.144476,0.376644,0.155452,-0.901721,
52,484728127,-4.241744,-1.191215,10.607699,22.943747,11.125271,8.764606,0.143903,0.378422,0.152620,-0.901552,
53,484744794,-4.222026,-0.590506,10.557899,13.909947,14.153001,15.170352,0.144619,0.380449,0.150618,-0.900921,
54,484761461,-4.294603,-0.537257,10.174055,-2.979622,15.864037,19.832850,0.146865,0.382360,0.150538,-0.899761,
55,484778128,-4.193802,-0.639142,9.823764,-13.130484,15.667115,22.856712,0.150094,0.384020,0.151552,-0.898350,
56,484794795,-4.078102,-0.987592,9.532656,-7.969199,14.146162,24.519030,0.153300,0.385563,0.151716,-0.897119,
57,484811462,-3.959205,-1.377435,9.285880,6.623150,12.924164,25.887648,0.155906,0.387240,0.149834,-0.896264,
58,484828129,-3.852120,-1.082615,9.245025,15.808282,12.685006,27.711475,0.158247,0.389073,0.146621,-0.895590,
59,484844796,-3.770876,-0.833975,8.924387,17.824673,12.749569,29.693834,0.160744,0.390945,0.143007,-0.894915,
60,484861463,-3.938351,-0.817201,8.758840,15.527344,12.431381,30.901669,0.163548,0.392695,0.139588,-0.894180,
61,484878130,-4.135429,-0.781644,8.659925,10.607691,11.515702,31.065166,0.166685,0.394167,0.136756,-0.893391,
62,484894797,-4.177965,-0.728631,8.520273,4.089301,9.723090,30.670732,0.170190,0.395202,0.134733,-0.892580,
63,484911464,-4.249156,-0.802482,8.249024,2.074053,7.712373,29.826859,0.173749,0.395876,0.132955,-0.891861,
64,484928131,-4.436139,-0.912765,7.895419,4.778300,5.123817,28.658934,0.177059,0.396232,0.130819,-0.891368,
65,484944798,-4.629914,-0.965996,7.600356,6.328845,2.213257,27.771193,0.180226,0.396213,0.128453,-0.891086,
66,484961465,-4.970248,-1.028674,7.426630,5.107307,-0.454102,27.343822,0.183462,0.395794,0.126199,-0.890934,
67,484978132,-5.293484,-1.190483,7.418415,4.029893,-3.907906,26.474884,0.186714,0.394873,0.124045,-0.890969,
68,484994799,-5.417081,-1.236368,7.300601,5.959854,-8.178848,25.426121,0.189798,0.393426,0.121591,-0.891296,
69,485011466,-5.443794,-1.233511,7.254166,9.894812,-12.087630,24.520643,0.192608,0.391560,0.118578,-0.891921,
70,485028133,-5.355591,-1.143061,7.203671,11.907301,-15.378404,23.923939,0.195283,0.389308,0.115253,-0.892760,
