sep=,
DeviceTag:,Xsens DOT0
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-03-18_10:28:58_546 CET
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,950589826,1.741002,-1.988710,-0.292283,1.172527,-3.567935,9.648717,0.907108,0.129362,0.325012,-0.234070,
2,950606493,-5.523656,0.881698,6.630141,7.444110,-3.544837,5.637773,0.908786,0.127241,0.321635,-0.233384,
3,950623160,-5.275378,1.231235,6.447017,-13.534828,-10.665652,-1.509589,0.910450,0.124563,0.318888,-0.232109,
4,950639827,-5.392457,1.373649,6.621970,-27.142868,-19.472408,-10.643775,0.912308,0.121805,0.315549,-0.230837,
5,950656494,-5.496048,0.706434,7.023403,-40.183327,-30.059072,-18.871536,0.914428,0.117494,0.311617,-0.230025,
6,950673161,-5.737255,0.153180,7.145456,-63.673523,-41.546299,-23.330423,0.917132,0.107916,0.307443,-0.229568,
7,950689828,-5.236311,0.076841,7.390004,-85.405663,-53.286022,-28.084457,0.920109,0.093425,0.303298,-0.229525,
8,950706495,-4.868019,-0.174013,7.570583,-89.838806,-64.606934,-37.466469,0.923116,0.076957,0.297620,-0.230991,
9,950723162,-4.067791,-0.748239,7.566764,-77.154541,-71.147926,-48.841160,0.925660,0.061155,0.290344,-0.234763,
10,950739829,-1.955496,-2.171406,8.589541,-49.323318,-70.290802,-59.030704,0.927439,0.048164,0.281782,-0.241113,
11,950756496,-1.091319,-2.236399,9.559600,-15.213826,-64.219208,-64.807961,0.928688,0.038320,0.271313,-0.249918,
12,950773163,-1.343408,-1.360655,10.378115,14.374623,-54.166100,-63.179844,0.929556,0.032130,0.259614,-0.259797,
13,950789830,-0.355853,-1.000434,11.348066,40.741299,-41.442329,-56.364910,0.930072,0.030432,0.247653,-0.269645,
14,950806497,-0.862380,-1.718531,12.161738,72.260384,-27.139996,-49.719620,0.930193,0.034110,0.235339,-0.279630,
15,950823164,-1.280648,-2.332020,12.678026,87.516777,-15.598540,-42.356606,0.929881,0.040712,0.223512,-0.289320,
16,950839831,-1.992847,-1.892497,13.492990,87.494751,-7.369408,-37.665249,0.929283,0.047691,0.212766,-0.298145,
17,950856498,-2.729760,-1.658823,13.905779,75.309914,-3.011487,-36.401417,0.928475,0.053340,0.203326,-0.306182,
18,950873165,-3.151556,-1.602590,13.944984,54.814644,-1.330536,-37.209682,0.927537,0.056442,0.195414,-0.313534,
19,950889832,-3.748775,-2.007767,13.134437,31.731245,0.507693,-35.717834,0.926623,0.056731,0.189261,-0.319894,
20,950906499,-3.893724,-2.636055,12.156125,19.885578,1.766011,-32.637470,0.925730,0.055694,0.184432,-0.325433,
21,950923166,-4.240953,-2.726184,11.963935,18.428492,1.702273,-31.338629,0.924737,0.054536,0.180309,-0.330719,
22,950939833,-4.569653,-2.680893,12.409526,23.594879,0.550862,-33.080513,0.923492,0.054044,0.176401,-0.336341,
23,950956500,-4.602707,-3.241026,12.251273,32.244053,0.931510,-36.490578,0.921862,0.054744,0.172656,-0.342584,
24,950973167,-3.951617,-3.545268,11.388808,39.566700,2.529160,-38.008873,0.919925,0.056499,0.169225,-0.349155,
25,950989834,-3.072284,-3.131522,10.268852,44.461216,7.529704,-36.817913,0.917771,0.059182,0.166552,-0.355605,
