sep=,
DeviceTag:,Xsens DOT0
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-03-18_09:27:12_908 CET
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,356292187,1.324418,1.520295,-1.144094,4.462910,5.006848,0.638340,0.868648,0.327350,0.263524,-0.262388,
2,356308854,-6.800508,4.145926,6.559080,-104.157524,-34.066494,-47.440556,0.873277,0.305110,0.266737,-0.270456,
3,356325521,-6.510952,3.977723,6.069701,-94.774651,-37.763645,-50.063358,0.876043,0.287964,0.270964,-0.276050,
4,356342188,-6.386157,3.653271,6.094914,-93.178131,-40.829311,-52.303574,0.877790,0.274507,0.274688,-0.280494,
5,356358855,-6.689065,3.206554,6.751568,-94.163628,-45.757717,-53.430889,0.879623,0.261430,0.277274,-0.284671,
6,356375522,-6.611898,2.965926,7.477206,-91.024651,-53.681026,-53.114510,0.881820,0.247408,0.278274,-0.289389,
7,356392189,-6.058578,2.660319,7.571579,-80.723602,-63.725330,-52.237957,0.884409,0.233258,0.276519,-0.294871,
8,356408856,-5.262893,2.742238,7.475386,-69.741081,-72.978821,-51.588264,0.887232,0.219500,0.272086,-0.301013,
9,356425523,-4.639582,2.670461,7.575796,-69.977547,-79.193443,-51.222416,0.890431,0.205410,0.265767,-0.307094,
10,356442190,-4.098537,2.149034,7.701918,-81.823898,-81.391861,-51.270729,0.894048,0.189685,0.258774,-0.312625,
11,356458857,-3.780529,1.638366,7.545987,-91.918907,-79.954948,-51.110954,0.897736,0.172447,0.251803,-0.317690,
12,356475524,-3.533336,1.408268,7.331058,-91.937630,-76.000061,-48.938183,0.901077,0.155187,0.245034,-0.322389,
13,356492191,-3.364915,1.100946,7.370249,-85.653717,-71.282677,-45.817047,0.903908,0.138955,0.238437,-0.326787,
14,356508858,-3.226055,0.750920,7.747509,-79.557121,-66.723557,-43.294189,0.906247,0.123721,0.232105,-0.330965,
15,356525525,-3.279213,0.264899,7.951876,-76.228081,-62.957161,-41.791733,0.908174,0.109018,0.226089,-0.334992,
16,356542192,-3.102561,-0.248804,8.061251,-71.652122,-59.654926,-40.314163,0.909697,0.094964,0.220360,-0.338931,
17,356558859,-2.977058,-0.568383,8.232469,-63.050480,-56.764523,-37.334953,0.910891,0.082093,0.214659,-0.342725,
18,356575526,-3.066815,-0.799172,8.546932,-55.396542,-54.292110,-33.510555,0.911878,0.070317,0.208958,-0.346224,
