sep=,
DeviceTag:,Xsens DOT0
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-03-18_10:29:33_402 CET
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,985450086,-1.587421,-0.907893,-0.265228,1.638689,3.383038,-4.593690,0.122948,-0.312034,-0.808855,0.482982,
2,985466753,9.444407,-9.884238,-4.434456,-221.335648,-151.035461,138.150528,0.139482,-0.294517,-0.828729,0.454986,
3,985483420,13.904897,-10.196836,-4.297458,-242.781509,-110.920296,107.318413,0.190172,-0.263427,-0.849994,0.414670,
4,985500087,20.149624,-13.084588,-2.876585,-197.997040,-76.243416,67.434715,0.258810,-0.227258,-0.861026,0.374174,
5,985516754,25.695152,-15.125258,0.181529,-162.355591,-43.502171,13.857351,0.340010,-0.186434,-0.856846,0.339779,
6,985533421,31.541132,-14.983935,1.919536,-135.263245,-4.511240,-42.226376,0.426917,-0.144623,-0.836522,0.311538,
7,985550088,36.618275,-13.526506,3.660151,-159.071121,50.705238,-96.629539,0.513650,-0.107226,-0.805015,0.276798,
8,985566755,41.585079,-16.213036,5.395715,-193.384003,115.971069,-143.556870,0.596492,-0.077734,-0.764285,0.232431,
9,985583422,47.623356,-19.080559,8.045634,-126.966103,178.600510,-178.964676,0.672288,-0.051376,-0.712556,0.194046,
10,985600089,53.019814,-19.766634,10.018938,-64.891335,245.851700,-210.815842,0.739978,-0.028302,-0.652280,0.161750,
11,985616756,53.697109,-21.654428,8.824319,-63.123093,338.970337,-265.199951,0.801073,-0.011569,-0.585184,0.125333,
12,985633423,54.201515,-27.086557,5.219736,-80.583336,464.810059,-351.095306,0.856474,-0.001669,-0.510114,0.078954,
13,985650090,58.117149,-38.132641,-1.058806,-58.203220,605.806885,-454.865906,0.904381,0.006296,-0.426057,0.023016,
14,985666757,66.154190,-52.929020,-14.027006,45.992867,743.983459,-565.197693,0.941025,0.021702,-0.335365,-0.039140,
15,985683424,81.006668,-64.937851,-30.700268,120.271111,880.140015,-661.974976,0.963084,0.038876,-0.242962,-0.109214,
16,985700091,80.388397,-70.386803,-50.975052,83.488441,992.801208,-700.594421,0.969217,0.042299,-0.155810,-0.185883,
17,985716758,47.428146,-28.245735,7.156390,1086.434570,-112.744728,-695.546082,0.924206,0.200162,-0.205089,-0.252424,
18,985733425,57.486607,-42.768585,-24.276785,-680.118774,173.301453,-763.666077,0.910681,0.135523,-0.132972,-0.366896,
19,985750092,70.286911,-85.335030,-21.531988,-481.134766,506.212921,-797.469299,0.876718,0.112512,-0.023554,-0.467067,
20,985766759,74.453934,-88.302063,-42.649586,198.258789,640.229614,-841.753479,0.808069,0.182189,0.058198,-0.557175,
