sep=,
DeviceTag:,Xsens DOT0
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-03-18_10:25:11_022 CET
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,723069484,0.089426,0.499411,-0.000224,0.416375,-0.368804,-0.931157,0.932959,-0.279995,-0.027511,-0.224574,
2,723086151,2.237095,-10.154008,8.237265,213.108826,-37.448082,184.235138,0.939954,-0.280338,-0.024806,-0.193083,
3,723102818,2.084977,-9.889921,6.968246,218.591827,-30.371843,172.745499,0.942990,-0.289877,-0.019957,-0.162304,
4,723119485,2.365252,-9.174965,6.226073,210.724991,-18.409325,161.859573,0.944863,-0.298031,-0.015119,-0.134845,
5,723136152,2.812271,-8.327671,5.610693,191.514404,-4.156206,152.566208,0.946641,-0.302231,-0.011427,-0.111338,
6,723152819,3.012021,-7.385855,5.040021,165.029861,10.158554,144.762253,0.948292,-0.303861,-0.008603,-0.091310,
7,723169486,2.900912,-6.285274,4.529730,129.420197,23.122511,138.013031,0.949366,-0.305291,-0.005560,-0.073967,
8,723186153,2.675119,-5.385070,4.072889,88.861221,33.060635,131.914566,0.949556,-0.308072,-0.001601,-0.058589,
9,723202820,2.070540,-4.505751,3.396666,52.631527,39.890308,125.814392,0.948845,-0.312540,0.003381,-0.044720,
10,723219487,1.506869,-3.590810,3.050989,24.941566,43.321831,118.919182,0.947401,-0.318304,0.009366,-0.032035,
11,723236154,0.508840,-2.978699,2.542324,16.614527,42.339741,110.099342,0.946016,-0.323091,0.015702,-0.020460,
12,723252821,0.258445,-2.148031,1.850954,39.239124,39.223759,100.382683,0.946026,-0.323177,0.022236,-0.009882,
13,723269488,0.036206,-1.521030,1.826320,78.238853,35.168690,90.399727,0.948109,-0.316663,0.028547,-0.000380,
14,723286155,0.029799,-0.913298,1.367689,115.018570,30.791706,80.153603,0.952022,-0.303981,0.034431,0.007985,
15,723302822,0.029813,-0.095818,0.808482,133.831573,28.573812,69.714767,0.956730,-0.287818,0.040008,0.015089,
16,723319489,-0.337283,0.534076,0.544470,116.374237,27.184591,58.549210,0.960623,-0.273352,0.045206,0.020944,
17,723336156,-0.207522,0.181698,-0.528625,85.159348,24.867472,46.366913,0.963268,-0.262637,0.049849,0.025533,
18,723352823,0.646599,0.641033,-1.764859,62.231697,22.787266,34.383492,0.965026,-0.254937,0.053900,0.028772,
19,723369490,2.073757,2.184052,-2.875327,29.702160,20.978426,25.585773,0.965607,-0.251708,0.057263,0.031111,
20,723386157,2.868666,3.392093,-3.310260,-16.170450,16.999338,19.249445,0.964635,-0.254673,0.059418,0.033045,
