sep=,
DeviceTag:,Xsens DOT0
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-03-18_09:25:19_890 CET
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,243281744,0.399668,-0.708323,0.161989,1.925198,0.810702,2.132533,0.687468,0.625759,-0.093145,0.356563,
2,243298411,5.958187,10.162178,4.203092,-150.743774,-122.656265,105.130005,0.695441,0.611672,-0.123861,0.356199,
3,243315078,5.753284,10.289113,5.311389,-172.700912,-135.495239,92.549088,0.712884,0.590154,-0.145951,0.349590,
4,243331745,5.999176,9.825263,6.279703,-199.229843,-149.329666,77.179474,0.734909,0.563917,-0.165091,0.338604,
5,243348412,6.017972,9.420946,6.746860,-221.294281,-163.254684,58.982952,0.757461,0.534861,-0.185730,0.325086,
6,243365079,5.816620,9.483239,7.406515,-237.159256,-176.562424,40.425800,0.778561,0.505159,-0.208287,0.308665,
7,243381746,6.451373,9.714595,8.459396,-247.008392,-189.834213,24.392548,0.797767,0.475671,-0.231829,0.289068,
8,243398413,7.228475,9.526224,10.027958,-250.471924,-204.544037,9.797585,0.814546,0.446756,-0.256499,0.266706,
9,243415080,7.834246,8.619371,11.245652,-249.928452,-219.872879,-5.400281,0.828863,0.418091,-0.282212,0.241955,
10,243431747,7.686563,7.291843,11.508488,-252.617966,-232.263565,-24.562248,0.841094,0.388880,-0.308648,0.214639,
11,243448414,6.882291,6.728772,12.010895,-262.855530,-239.621811,-46.883968,0.851662,0.358261,-0.335217,0.184256,
12,243465081,7.717237,6.668694,13.440783,-277.250000,-245.197891,-69.611679,0.860678,0.325925,-0.361132,0.150301,
13,243481748,9.115355,7.604518,14.335879,-293.784302,-250.949982,-89.664108,0.867763,0.291456,-0.386371,0.112956,
14,243498415,9.858791,7.653489,13.965904,-310.575531,-253.542877,-105.568886,0.872414,0.255010,-0.410588,0.072679,
15,243515082,10.391366,5.938363,13.293629,-312.995575,-250.711746,-121.937813,0.873932,0.218721,-0.432988,0.030426,
16,243531749,9.647519,4.585857,13.907728,-305.134674,-244.653091,-141.440689,0.872074,0.183966,-0.453288,-0.013201,
17,243548416,8.850410,4.116610,15.243174,-305.461426,-238.988998,-161.770279,0.867216,0.149724,-0.471242,-0.058737,
18,243565083,8.752951,3.300825,15.603772,-309.730927,-232.224625,-182.692520,0.859548,0.115681,-0.486275,-0.106453,
19,243581750,9.623673,2.647979,14.823424,-312.453186,-220.531433,-203.759918,0.849180,0.082227,-0.497788,-0.156010,
20,243598417,10.269238,2.297371,13.788589,-313.198212,-201.444885,-221.517014,0.836394,0.049742,-0.505263,-0.206592,
21,243615084,9.470463,2.022872,12.831367,-317.510986,-176.409821,-232.730286,0.821648,0.017798,-0.508191,-0.257526,
22,243631751,8.472619,2.148076,13.580851,-330.417084,-148.803833,-238.390350,0.805244,-0.014554,-0.506009,-0.308747,
23,243648418,9.375803,1.153620,12.169602,-351.622375,-120.564125,-240.585495,0.787258,-0.048069,-0.497994,-0.360440,
24,243665085,7.562818,-1.270392,12.364498,-331.345551,-95.626221,-240.055283,0.767777,-0.078098,-0.486854,-0.409136,
25,243681752,8.192084,-1.333656,11.370716,-289.229126,-74.505676,-235.104050,0.747727,-0.102630,-0.474546,-0.452966,
26,243698419,7.984092,-1.698566,10.810234,-243.497803,-54.972492,-224.823883,0.728070,-0.121629,-0.462158,-0.491457,
27,243715086,8.105028,-1.861191,10.225815,-198.507401,-37.777176,-211.969131,0.709496,-0.135466,-0.450407,-0.524784,
28,243731753,7.954770,-1.946270,9.896127,-166.594070,-21.950859,-198.360184,0.692229,-0.145641,-0.438879,-0.554069,
29,243748420,8.098861,-2.347078,9.921659,-147.087128,-7.952196,-185.982529,0.676127,-0.153442,-0.427053,-0.580460,
30,243765087,8.095941,-2.634283,9.953603,-134.034729,3.225140,-176.362183,0.660857,-0.159561,-0.414858,-0.604733,
31,243781754,8.209278,-2.802359,9.919308,-125.676971,12.473273,-168.963043,0.645175,-0.162908,-0.403715,-0.627873,
32,243798421,8.190771,-2.941465,9.789740,-118.401535,20.219360,-163.856659,0.628887,-0.163402,-0.393762,-0.650194,
33,243815088,8.037680,-2.891289,9.581197,-112.146790,26.782505,-160.293381,0.612528,-0.162171,-0.384008,-0.671601,
34,243831755,8.200592,-2.803027,9.139405,-107.809937,33.310707,-157.881119,0.596253,-0.159735,-0.373919,-0.692208,
35,243848422,8.190549,-2.594966,8.732022,-106.234619,40.164143,-156.274155,0.580033,-0.156375,-0.363126,-0.712213,
36,243865089,8.038337,-2.275360,8.516351,-110.300903,47.287346,-154.509933,0.563799,-0.152568,-0.351005,-0.731881,
37,243881756,8.230182,-2.139277,8.641213,-119.643730,53.617722,-152.370514,0.547430,-0.148826,-0.337043,-0.751381,
38,243898423,8.010799,-1.950608,8.711290,-131.319977,58.389709,-149.644501,0.530852,-0.145491,-0.321074,-0.770675,
39,243915090,7.516002,-1.829182,8.478393,-142.897964,61.417458,-145.758118,0.514104,-0.142755,-0.303194,-0.789551,
40,243931757,7.148424,-1.464036,7.984931,-154.238129,64.523911,-140.532364,0.497348,-0.140599,-0.283373,-0.807822,
41,243948424,6.380985,-1.157037,7.513426,-163.620270,67.662148,-133.135269,0.480886,-0.138914,-0.261785,-0.825179,
42,243965091,5.527742,-0.766692,7.319839,-168.407684,69.664291,-124.205284,0.464974,-0.137518,-0.239032,-0.841280,
43,243981758,5.073512,-0.354073,7.158948,-169.276047,70.380493,-113.829353,0.449867,-0.136313,-0.215679,-0.855875,
44,243998425,4.322432,-0.147160,7.433381,-166.054688,69.088814,-102.320976,0.435787,-0.135287,-0.192381,-0.868779,
45,244015092,3.652980,-0.175334,7.724633,-154.650543,64.452568,-90.638191,0.422910,-0.134334,-0.170427,-0.879805,
46,244031759,2.673733,-0.456774,7.893456,-134.952621,56.685711,-79.846657,0.411316,-0.133336,-0.151144,-0.888930,
47,244048426,1.722358,-0.599086,7.789776,-108.260490,47.350098,-70.800591,0.400999,-0.132077,-0.135619,-0.896305,
48,244065093,1.331622,-0.391908,7.722215,-80.754219,38.865112,-62.983013,0.391929,-0.130426,-0.123978,-0.902225,
49,244081760,1.212817,-0.085927,7.715895,-54.827694,32.446018,-55.787853,0.384099,-0.128238,-0.115942,-0.906962,
