sep=,
DeviceTag:,Xsens DOT0
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-03-18_09:40:29_146 CET
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,1152527574,-0.065353,-0.178897,-0.205106,-0.363223,-0.684479,-0.694329,0.741906,0.222012,0.630903,0.047417,
2,1152544241,-4.310392,2.596107,-3.119195,-19.142849,-58.897610,-78.475876,0.745754,0.216595,0.628691,0.041051,
3,1152560908,-3.263035,2.673740,-8.076900,0.462801,-45.661797,-68.927399,0.731859,0.221612,0.643433,0.035559,
4,1152577575,-1.867062,3.078425,-13.790601,41.122410,-18.967632,-58.441387,0.695479,0.238398,0.677222,0.029085,
5,1152594242,4.076797,3.882374,-17.966349,89.336388,19.509283,-42.674667,0.636147,0.265339,0.724173,0.022026,
6,1152610909,11.000734,1.105017,-18.229492,95.020897,58.516048,-31.626371,0.558917,0.296931,0.773915,0.022353,
7,1152627576,15.894632,-0.554904,-19.173712,34.229847,94.825737,-33.232040,0.472847,0.320863,0.819967,0.033424,
8,1152644243,19.430468,-0.549849,-19.149307,-58.561577,127.790985,-37.223946,0.381768,0.335219,0.859309,0.058908,
9,1152660910,21.482780,-0.382889,-17.387224,-156.825912,151.875519,-36.052437,0.290284,0.342786,0.887764,0.100536,
10,1152677577,21.994066,-0.424429,-14.622989,-246.977600,163.549637,-28.364210,0.203651,0.347235,0.901991,0.156099,
11,1152694244,20.066650,-0.755569,-11.806499,-314.502228,164.142075,-17.326809,0.125623,0.351898,0.901094,0.220038,
12,1152710911,17.371687,-1.758193,-9.259787,-353.070801,157.039444,-6.020873,0.058600,0.358672,0.886771,0.285584,
13,1152727578,14.581982,-3.167219,-7.199165,-356.404602,144.540604,3.312918,0.002643,0.368140,0.862931,0.346144,
14,1152744245,11.259577,-4.770591,-5.532022,-323.340332,127.206604,9.065961,-0.043733,0.379843,0.834629,0.396486,
15,1152760912,7.156171,-5.768779,-4.664415,-257.644531,107.049614,9.933636,-0.082755,0.392444,0.807116,0.433248,
16,1152777579,3.078465,-6.196008,-4.124317,-172.038315,85.547585,6.356587,-0.116372,0.404348,0.784553,0.455452,
17,1152794246,1.037360,-6.451973,-3.628826,-85.489128,61.862862,-1.929045,-0.145480,0.414290,0.769082,0.464448,
18,1152810913,0.694461,-6.632516,-3.218756,-15.212341,35.015057,-13.461522,-0.170171,0.421944,0.760600,0.463133,
19,1152827580,1.290493,-6.222322,-3.702419,31.701153,6.457801,-26.343885,-0.190178,0.427617,0.757756,0.454732,
20,1152844247,2.978209,-5.642600,-4.222214,60.673336,-22.838419,-37.169582,-0.205425,0.431989,0.759180,0.441397,
21,1152860914,4.984076,-5.139176,-4.891047,75.162254,-52.181389,-45.067928,-0.215940,0.435777,0.763569,0.424772,
22,1152877581,6.226532,-4.438574,-5.599112,85.119141,-80.332062,-49.260227,-0.222327,0.439423,0.770178,0.405344,
23,1152894248,8.289031,-4.497308,-6.771954,95.214294,-104.496254,-51.718910,-0.225409,0.442768,0.778613,0.383287,
24,1152910915,12.351650,-4.074308,-7.529206,106.798737,-123.639702,-53.768936,-0.226162,0.445469,0.788530,0.358648,
25,1152927582,15.088697,-1.614467,-9.636525,130.533432,-136.853928,-49.893330,-0.226723,0.447337,0.799618,0.330298,
26,1152944249,16.703302,2.009536,-13.736487,174.064041,-135.652969,-35.112045,-0.230532,0.448004,0.811273,0.296621,
27,1152960916,15.588711,4.269916,-15.878295,210.335327,-116.841576,-15.971959,-0.239033,0.447252,0.821877,0.259514,
28,1152977583,11.125990,5.039467,-14.790546,192.368942,-88.896843,-5.922222,-0.249109,0.445692,0.829473,0.226445,
29,1152994250,9.538125,5.271841,-14.070767,116.413757,-58.449509,-8.155316,-0.256732,0.444466,0.833340,0.205141,
30,1153010917,6.502329,5.553772,-12.148584,22.644001,-29.159723,-16.612570,-0.260564,0.444212,0.834007,0.198024,
31,1153027584,3.480686,5.780024,-11.435523,-64.255531,-2.449845,-25.870890,-0.258809,0.444495,0.832715,0.205009,
32,1153044251,1.191384,5.766638,-10.659453,-121.857529,21.757751,-32.287258,-0.253572,0.444720,0.829874,0.221887,
33,1153060918,-0.347605,5.338918,-9.502042,-145.906708,41.308586,-34.888683,-0.248207,0.444505,0.825606,0.243276,
34,1153077585,-1.723658,4.534045,-7.670099,-146.706940,54.073917,-35.819344,-0.244000,0.443470,0.820531,0.265569,
35,1153094252,-3.050174,3.532479,-5.786404,-135.169907,59.154491,-38.140289,-0.240902,0.441310,0.815457,0.286777,
36,1153110919,-4.225918,2.559120,-4.268519,-116.743576,58.121216,-42.569954,-0.238572,0.437826,0.811110,0.305765,
37,1153127586,-5.165111,1.915386,-3.062021,-93.059998,52.773609,-48.107128,-0.236795,0.432949,0.808077,0.321706,
38,1153144253,-6.128647,1.615380,-2.270170,-61.525764,45.474319,-53.500698,-0.235839,0.426593,0.806918,0.333590,
39,1153160920,-7.376132,1.201739,-1.659204,-29.001677,36.468517,-58.528091,-0.235566,0.418902,0.807836,0.341220,
40,1153177587,-7.583853,1.947996,-0.633770,-7.502935,25.681139,-61.433426,-0.235164,0.410625,0.810282,0.345729,
41,1153194254,-8.837659,1.192196,-0.622487,-3.178842,14.399257,-64.918129,-0.233493,0.402314,0.813464,0.349144,
42,1153210921,-8.215210,1.985262,-1.639339,13.063010,5.775647,-65.326118,-0.231707,0.393804,0.817711,0.350112,
43,1153227588,-6.082175,2.964938,-2.289898,40.399002,-1.196864,-57.891449,-0.231010,0.385571,0.823080,0.347144,
44,1153244255,-2.348618,3.661633,-3.330244,77.466614,-6.844689,-44.792477,-0.232345,0.377891,0.829661,0.338936,
45,1153260922,3.433641,5.578953,-8.508250,132.329056,-6.129255,-24.097265,-0.237740,0.370714,0.837551,0.323355,
46,1153277589,11.049057,8.865979,-16.016972,226.561127,11.958841,9.616018,-0.251832,0.363264,0.846807,0.295868,
47,1153294256,17.275742,8.532178,-17.472847,336.340973,44.680569,45.505257,-0.276842,0.354162,0.856169,0.254758,
48,1153310923,18.433805,4.873395,-14.267260,361.510529,70.275215,58.881321,-0.306086,0.343802,0.862413,0.210609,
49,1153327590,18.022339,3.812474,-14.185081,269.010132,86.118896,45.037201,-0.331569,0.334535,0.863781,0.178972,
50,1153344257,19.428198,4.345839,-14.869423,122.681671,92.903664,24.409000,-0.349889,0.329166,0.861043,0.166833,
51,1153360924,17.407471,3.214849,-13.011292,-43.617268,91.281609,2.778995,-0.359394,0.329467,0.855067,0.176487,
52,1153377591,15.252519,2.513796,-11.527519,-193.083130,84.359810,-16.677006,-0.360171,0.335145,0.846052,0.205309,
53,1153394258,13.397968,1.757309,-9.963719,-292.029480,76.208351,-28.871431,-0.354239,0.344264,0.833884,0.246241,
54,1153410925,11.472519,0.918793,-8.293909,-338.047882,68.661293,-33.018410,-0.344150,0.354752,0.818799,0.292028,
55,1153427592,8.564602,-0.057803,-6.874433,-347.636292,61.807686,-31.669466,-0.331914,0.365261,0.801454,0.337772,
56,1153444259,5.933836,-1.092391,-6.199456,-326.399200,55.506248,-28.760811,-0.319387,0.374487,0.783305,0.379717,
57,1153460926,1.690857,-2.864288,-5.617054,-280.590088,48.646297,-29.673491,-0.307869,0.381108,0.766464,0.415338,
58,1153477593,-0.145512,-2.789999,-4.352150,-220.270401,38.366295,-32.905144,-0.297915,0.384763,0.752833,0.443223,
59,1153494260,-0.933180,-3.344081,-3.316761,-161.620529,22.769150,-37.110481,-0.289011,0.386105,0.743270,0.463622,
60,1153510927,-0.565758,-3.190726,-3.456480,-105.545723,2.943166,-40.989288,-0.280726,0.385844,0.738222,0.476808,
61,1153527594,0.498987,-2.745988,-3.362722,-48.188732,-20.286285,-42.814266,-0.272985,0.384588,0.738070,0.482518,
62,1153544261,0.651721,-2.382582,-3.251399,-0.989254,-46.699547,-44.215881,-0.264928,0.383127,0.742292,0.481694,
63,1153560928,1.878040,-1.488902,-3.776086,33.983624,-73.594490,-45.499615,-0.255792,0.382013,0.749974,0.475580,
64,1153577595,4.463361,-1.074101,-4.405582,54.561882,-98.696472,-46.658245,-0.244920,0.381649,0.759891,0.465750,
65,1153594262,10.096172,-1.030616,-5.358158,61.330933,-120.689018,-48.528637,-0.231779,0.382185,0.770870,0.453843,
66,1153610929,15.270067,0.678384,-7.088419,66.926895,-138.520966,-45.912601,-0.217023,0.383819,0.782291,0.440005,
67,1153627596,17.061440,3.655522,-9.617291,81.810356,-147.890488,-32.930523,-0.202753,0.386839,0.793774,0.423284,
68,1153644263,14.862126,5.279061,-10.870144,89.471405,-145.457230,-14.506716,-0.190215,0.391371,0.804124,0.405008,
69,1153660930,10.439730,5.051815,-9.866764,63.163574,-134.231461,-2.979282,-0.178072,0.397102,0.811523,0.389911,
70,1153677597,5.999300,3.762632,-8.164024,-1.747706,-119.057358,-6.078429,-0.163724,0.403132,0.814722,0.383286,
71,1153694264,2.550227,3.235201,-6.488369,-73.274284,-102.054260,-19.578960,-0.146385,0.408187,0.814065,0.386333,
72,1153710931,-2.941499,4.054759,-2.519595,-115.460922,-88.863388,-30.138340,-0.127440,0.411981,0.811064,0.395231,
